Model,Method,Replicate,RF,FN,FP
1000M1,FastTree (GTR),R17,189.0,0.04707060590886329,0.047547547547547545
1000M1,FastTree (JC),R17,193.0,0.04807210816224337,0.04854854854854855
1000M1,NJ (JC),R17,1805.0,0.4516775162744116,0.4519519519519519
1000M1,NJ (LogDet),R17,1805.0,0.4516775162744116,0.4519519519519519
1000M1,NJ (p-distance),R17,1805.0,0.4516775162744116,0.4519519519519519
1000M1,FastTree (GTR),R0,180.0,0.04504504504504504,0.04504504504504504
1000M1,FastTree (JC),R0,206.0,0.05155155155155155,0.05155155155155155
1000M1,NJ (JC),R0,1802.0,0.45095095095095095,0.45095095095095095
1000M1,NJ (LogDet),R0,1802.0,0.45095095095095095,0.45095095095095095
1000M1,NJ (p-distance),R0,1802.0,0.45095095095095095,0.45095095095095095
1000M1,FastTree (GTR),R7,250.0,0.06168505516549649,0.06356356356356356
1000M1,FastTree (JC),R7,282.0,0.06970912738214644,0.07157157157157157
1000M1,NJ (JC),R7,1884.0,0.47141424272818455,0.4724724724724725
1000M1,NJ (LogDet),R7,1884.0,0.47141424272818455,0.4724724724724725
1000M1,NJ (p-distance),R7,1884.0,0.47141424272818455,0.4724724724724725
1000M1,FastTree (GTR),R10,198.0,0.04864593781344032,0.05055055055055055
1000M1,FastTree (JC),R10,234.0,0.057673019057171516,0.059559559559559556
1000M1,NJ (JC),R10,1822.0,0.45586760280842525,0.456956956956957
1000M1,NJ (LogDet),R10,1822.0,0.45586760280842525,0.456956956956957
1000M1,NJ (p-distance),R10,1822.0,0.45586760280842525,0.456956956956957
1000M1,FastTree (GTR),R3,201.0,0.04962406015037594,0.05105105105105105
1000M1,FastTree (JC),R3,247.0,0.061152882205513785,0.06256256256256257
1000M1,NJ (JC),R3,1871.0,0.4681704260651629,0.46896896896896895
1000M1,NJ (LogDet),R3,1871.0,0.4681704260651629,0.46896896896896895
1000M1,NJ (p-distance),R3,1871.0,0.4681704260651629,0.46896896896896895
1000M1,FastTree (GTR),R9,230.0,0.05711422845691383,0.05805805805805806
1000M1,FastTree (JC),R9,256.0,0.06362725450901803,0.06456456456456457
1000M1,NJ (JC),R9,1836.0,0.4594188376753507,0.45995995995996
1000M1,NJ (LogDet),R9,1836.0,0.4594188376753507,0.45995995995996
1000M1,NJ (p-distance),R9,1836.0,0.4594188376753507,0.45995995995996
1000M1,FastTree (GTR),R14,173.0,0.04352176088044022,0.043043043043043044
1000M1,FastTree (JC),R14,207.0,0.05202601300650325,0.05155155155155155
1000M1,NJ (JC),R14,1825.0,0.45672836418209106,0.45645645645645644
1000M1,NJ (LogDet),R14,1825.0,0.45672836418209106,0.45645645645645644
1000M1,NJ (p-distance),R14,1825.0,0.45672836418209106,0.45645645645645644
1000M1,FastTree (GTR),R19,241.0,0.05964912280701754,0.06106106106106106
1000M1,FastTree (JC),R19,289.0,0.07167919799498747,0.07307307307307308
1000M1,NJ (JC),R19,1811.0,0.4531328320802005,0.45395395395395394
1000M1,NJ (LogDet),R19,1811.0,0.4531328320802005,0.45395395395395394
1000M1,NJ (p-distance),R19,1811.0,0.4531328320802005,0.45395395395395394
1000M1,FastTree (GTR),R13,203.0,0.05102551275637819,0.05055055055055055
1000M1,FastTree (JC),R13,265.0,0.06653326663331666,0.06606606606606606
1000M1,NJ (JC),R13,1875.0,0.46923461730865434,0.46896896896896895
1000M1,NJ (LogDet),R13,1875.0,0.46923461730865434,0.46896896896896895
1000M1,NJ (p-distance),R13,1875.0,0.46923461730865434,0.46896896896896895
1000M1,FastTree (GTR),R4,281.0,0.06924234821876568,0.07157157157157157
1000M1,FastTree (JC),R4,347.0,0.08580030105368791,0.08808808808808809
1000M1,NJ (JC),R4,1909.0,0.47767185148018065,0.47897897897897895
