,Model,Method,FN,FN,FP,FP
,,,mean,std,mean,std
0,1000M1,FastTree (GTR),0.0536769617300837,0.007645976719593301,0.054904904904904905,0.008120976272198013
1,1000M1,FastTree (JC),0.06314878143195753,0.00970222114631715,0.06436436436436437,0.010074864977045952
2,1000M1,NJ (JC),0.46116209893899374,0.008823416841807128,0.46186186186186184,0.008912785390522562
3,1000M1,NJ (LogDet),0.46116209893899374,0.008823416841807128,0.46186186186186184,0.008912785390522562
4,1000M1,NJ (p-distance),0.46116209893899374,0.008823416841807128,0.46186186186186184,0.008912785390522562
5,1000M4,FastTree (GTR),0.027920013759830675,0.00397435966503019,0.03899101906112422,0.004751765259392236
6,1000M4,FastTree (JC),0.030982641628873826,0.004496886048095863,0.04201927265272283,0.005081319675757348
7,1000M4,NJ (JC),0.28474820079614266,0.044983932651178775,0.293018018018018,0.042908203637491434
8,1000M4,NJ (LogDet),0.28474820079614266,0.044983932651178775,0.293018018018018,0.042908203637491434
9,1000M4,NJ (p-distance),0.28474820079614266,0.044983932651178775,0.293018018018018,0.042908203637491434
